                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.94672,                0.46458,                 1.0083,                0.97943,                0.98996,                0.98952,                0.66311,                 1.3167,                 0.4914,                 1.1522,             0.00031908,             0.00031908,             0.00031908
                     74,                0.92218,                0.46476,                 0.9995,                0.98121,                0.97166,                0.98897,                 0.6629,                 1.3036,                 0.4924,                 1.1473,             0.00030808,             0.00030808,             0.00030808
                     75,                0.92483,                0.45046,                 0.9881,                0.96566,                  0.991,                0.99005,                0.67272,                 1.2823,                 0.4731,                 1.1356,             0.00029708,             0.00029708,             0.00029708
                     76,                0.91125,                0.44911,                 1.0015,                0.96887,                0.97105,                0.98856,                0.66994,                 1.2985,                0.50027,                 1.1394,             0.00028608,             0.00028608,             0.00028608
                     77,                 0.9199,                0.45191,                0.98301,                0.98232,                0.98487,                0.98905,                0.65692,                 1.3034,                 0.4794,                 1.1528,             0.00027508,             0.00027508,             0.00027508
                     78,                0.93033,                0.46276,                0.99131,                0.97791,                0.99105,                0.98843,                0.66342,                 1.3348,                0.48596,                 1.1643,             0.00026408,             0.00026408,             0.00026408
                     79,                0.90844,                 0.4506,                0.99394,                0.97748,                0.98394,                0.98883,                0.66814,                 1.3065,                0.47231,                 1.1449,             0.00025309,             0.00025309,             0.00025309
                     80,                0.89244,                0.43529,                0.97971,                 0.9815,                0.98909,                0.99021,                0.65485,                  1.411,                0.49262,                 1.1987,             0.00024209,             0.00024209,             0.00024209
                     81,                0.90363,                0.44044,                0.97417,                0.98006,                0.99021,                0.99097,                0.67215,                 1.3139,                0.47339,                 1.1363,             0.00023109,             0.00023109,             0.00023109
                     82,                0.89862,                0.43925,                0.98489,                0.98433,                0.97664,                0.99021,                0.66958,                 1.3155,                0.49142,                 1.1542,             0.00022009,             0.00022009,             0.00022009
                     83,                0.89965,                0.45247,                0.97954,                0.97474,                0.99117,                0.99082,                 0.6735,                 1.3061,                0.48353,                 1.1376,             0.00020909,             0.00020909,             0.00020909
                     84,                0.86668,                0.42745,                0.97505,                0.97583,                0.99179,                 0.9902,                0.67316,                  1.307,                 0.4789,                 1.1516,             0.00019809,             0.00019809,             0.00019809
                     85,                0.86725,                0.42716,                0.97272,                0.98054,                0.99043,                0.99049,                 0.6742,                 1.2934,                0.47414,                  1.137,             0.00018709,             0.00018709,             0.00018709
                     86,                0.88188,                0.44651,                0.98293,                0.98296,                0.98975,                0.99101,                0.67858,                 1.2865,                0.46917,                  1.142,             0.00017609,             0.00017609,             0.00017609
